"Description","Bill","Default","Invoice","Inactive","Rate Type","Rate","Min Hrs","Max Hrs"
"Admin","NC","False","True","False","M","1.00","0.00","0.00"
"After Hours","B","False","True","False","M","1.50","1.00","0.00"
"Holiday","B","False","True","False","M","2.00","1.00","0.00"
"In Office","NB","False","False","False","M","0.00","0.00","0.00"
"MSP Maintenance","B","False","True","False","M","1.00","0.50","0.00"
"MSP Network Scans","B","False","True","False","M","0.00","0.00","0.00"
"MSP Network Setup","B","False","True","False","M","0.00","0.00","0.00"
"MSP Network Survey","NB","False","False","False","M","0.00","0.00","0.00"
"Onsite","B","False","True","False","M","1.00","0.50","0.00"
"Out Of Scope","B","False","True","False","M","1.00","0.00","0.00"
"PTO- Bereavement (PAID)","NC","False","True","False","M","0.00","0.00","0.00"
"PTO- Sick (Unpaid)","NB","False","False","False","M","0.00","0.00","0.00"
"PTO-Vacation (PAID)","NB","False","False","False","M","1.00","0.00","0.00"
"Remote","B","True","True","False","M","1.00","0.00","0.00"
"Sales","NC","False","True","False","M","1.00","0.00","0.00"
"Sales (Meeting)","NC","False","True","False","M","0.00","0.00","0.00"
"Sales (Site Survey)","NC","False","True","False","M","0.00","0.00","0.00"
"Security Installation","B","False","True","False","M","0.00","0.00","0.00"
"Security Maintenance","B","False","True","False","M","0.00","0.00","0.00"
"Security Repair On-Site","B","False","True","False","M","1.00","0.50","0.00"
"Security Repair Remote","B","False","True","False","M","1.00","0.50","0.00"
"Security Site Survey","NB","False","False","False","M","0.00","0.00","0.00"
"Structured Wiring (Cabling)","B","False","True","False","M","1.00","0.50","0.00"
"Structured Wiring (Fiber)","B","False","True","False","M","1.00","0.50","0.00"
"Structured Wiring (Site Survey)","NB","False","False","False","M","0.00","0.00","0.00"
"Tech Support (Bench)","B","False","True","False","M","1.00","0.00","0.00"
"Tech Support (Cloud Services)","B","False","True","False","M","1.00","0.50","0.00"
"Tech Support (Engineer On-Site OT)","B","False","True","False","M","2.50","0.00","0.00"
"Tech Support (Engineer On-Site)","B","False","True","False","M","1.50","0.00","0.00"
"Tech Support (Engineer Remote OT)","B","False","True","False","M","2.00","0.00","0.00"
"Tech Support (Engineer Remote)","B","False","True","False","M","1.50","0.00","0.00"
"Tech Support (Engineer)","B","False","True","False","M","1.50","0.00","0.00"
"Tech Support (Installation)","NB","False","False","False","M","0.00","0.00","0.00"
"Ticket Review","B","False","True","False","M","150.00","0.00","0.00"
"Travel (In Town)","B","False","True","False","C","35.00","1.00","1.00"
"Travel (Out of Town)","B","False","True","False","C","150.00","0.00","0.00"
